Question,Answer
Apa sajakah Ruang Lingkup Fasilitas Kepabeanan di IKN?,"Pembebasan BM dan Fasilitas PDRI impor barang oleh Pemerintah Pusat atau Pemerintah Daerah untuk Kepentingan Umum;
Pembebasan BM dan Fasilitas PDRI impor barang modal untuk Pembangunan dan Pengembangan industri;
Pembebasan BM impor barang dan bahan untuk Pembangunan dan Pengembangan industri."
Sampai kapan Fasilitas Kepabeanan di IKN diberikan?,2045 (dua ribu empat puluh lima)
Apakah sarana yang dapat digunakan untuk melakukan proses pengajuan Fasilitas Kepabeanan bagi Kepentingan Umum di IKN?,Aplikasi SSm Fasilitas IKN
Apa saja syarat objek untuk mendapatkan fasilitas kepabeanan untuk pembangunan industri di IKN?,"Belum diproduksi di dalam negeri;
Sudah diproduksi di dalam negeri namun belum memenuhi spesifikasi yang dibutuhkan;
Sudah diproduksi di Dalam Negeri namun jumlahnya belum mencukupi kebutuhan industri, berdasarkan daftar barang yang ditetapkan oleh menteri Perindustrian."
Apa ketentuan untuk melakukan perpanjangan atau perubahan Salinan Keputusan Menteri Keuangan (SKMK) Fasilitas Kepabeanan?,"Barang belum di impor;
Masih dalam jangka waktu pembebasan."
Siapa saja Subjek yang menerima Fasilitas untuk Kepentingan Umum di IKN & Daerah Mitra?,"Pemerintah Pusat
Otorita IKN
Pemerintah Daerah"
Berapa tahun sekali monitoring dan evaluasi atas pemberian Fasilitas Kepabeanan di IKN wajib dilakukan?,1 kali
Bagaimana ketentuan yang diberikan jika penggunaan fasilitas tidak sesuai dengan peraturan yang berlaku?,"Wajib bayar BM dan/atau Fas PDRI terutang
Sanksi Adm di Bidang Kepabeanan dan/atau Perpajakan"
Siapakah importir yang dapat mengajukan Fasilitas Kepabeanan Impor Barang yang Ditujukan untuk Kepentingan Umum di Wilayah Ibu Kota Nusantara dan Daerah Mitra?,"Pemerintah Pusat;
Pemerintah Daerah;
Pihak Ketiga; atau
Pihak Lain."
Surat permohonan untuk mendapatkan Fasilitas Kepabeanan Impor Barang yang Ditujukan untuk Kepentingan Umum di Wilayah Ibu Kota Nusantara dan Daerah Mitra ditandatangani oleh siapa?,"Surat Permohonan ditandatangani oleh:
pimpinan satuan kerja selaku kuasa pengguna anggaran;
pejabat paling rendah setingkat Eselon II atau pimpinan tinggi pratama, dari pemerintah pusat atau pemerintah daerah;
pimpinan Pihak Ketiga; atau
pimpinan Pihak Lain."
Dokumen apa yang perlu dilampirkan dalam surat permohonan untuk mendapatkan Fasilitas Kepabeanan Impor Barang yang Ditujukan untuk Kepentingan Umum di Wilayah Ibu Kota Nusantara dan Daerah Mitra?,"Merupakan Pembelian:DIPA/Dokumen Sejenis;
Surat Pernyataan pembiayaan dalam DIPA tidak meliputi unsur Bea Masuk dan/atau Pajak Dalam Rangka Impor (PDRI); dan
Kontrak Pengadaan yang menyebutkan bahwa harga barang tidak meliputi pembayaran Bea Masuk dan/atau Pajak Dalam Rangka Impor (PDRI).

Berupa Hibah:Gift certificate atau MoU (Memorandum of Understanding);
Dokumen persetujuan Hibah dari Pemerintah pusat, dalam hal Hibah kepada Pemerintah daerah; atau
Surat pernyataan Pemerintah pusat atau Pemerintah daerah dalam hal importasi dilakukan oleh Pihak Lain."
Bagaimana cara mengajukan permohonan untuk mendapatkan Fasilitas Kepabeanan Impor Barang yang Ditujukan untuk Kepentingan Umum di Wilayah Ibu Kota Nusantara dan Daerah Mitra?,"Surat Permohonan ditujukan kepada Kepala Kantor Wilayah DJBC wilayah kerja IKN dan/atau Daerah Mitra.
Surat Permohonan dan Dokumen Lampiran disampaikan melalui SSm (Single Submission) Fasilitas IKN atau laman http://fasilitas.insw.go.id"
Berapa lama janji layanan penelitian permohonan Fasilitas Kepabeanan di Ibu Kota Nusantara?,"3 (tiga) hari kerja sejak permohonan diterima dengan lengkap dan benar, apabila penelitian dilakukan secara manual.
5 (lima) jam kerja sejak permohonan diterima dengan lengkap dan benar, apabila penelitian dilakukan secara otomasi."
Berapa lama impor harus direalisasikan setelah mendapat persetujuan Fasilitas Kepabeanan Impor Barang yang Ditujukan untuk Kepentingan Umum di Wilayah Ibu Kota Nusantara dan Daerah Mitra?,"Satu Tahun sejak tanggal SKMK;
sampai dengan tanggal kontrak/perjanjian; atau
Maksimal 31 Desember 2045."
Bagaimana cara mengajukan permohonan untuk mendapatkan Fasilitas Kepabeanan Impor Barang yang Ditujukan untuk Kepentingan Umum di Wilayah Ibu Kota Nusantara dan Daerah Mitra?,"Cara mengajukan permohonan untuk mendapatkan Fasilitas Kepabeanan Impor Barang yang Ditujukan untuk Kepentingan Umum di Wilayah Ibu Kota Nusantara dan Daerah Mitra:
- Otomasi dengan cara mengirimkan Surat Permohonan dan Dokumen Lampiran melalui SSm Fasilitas IKN atau laman http://fasilitas.insw.go.id

Dalam hal SSm Fasilitas IKN belum memadai atau terjadi gangguan sistem:
- Manual dengan cara mengirimkan Surat Permohonan beserta Dokumen Lampiran kepada Kepala Kantor Wilayah DJBC/KPU BC yang wilayah kerjanya meliputi Ibu Kota Nusantara dan Daerah Mitra."
Berapa lama janji layanan penelitian permohonan Fasilitas Kepabeanan di Ibu Kota Nusantara?,"Janji layanan waktu Persetujuan/Penerbitan Fasilitas Kepabeanan di Ibu Kota Nusantara, yaitu:5 (lima) jam kerja sejak permohonan diterima dengan lengkap dan benar, apabila penelitian dilakukan secara otomasi.
3 (tiga) hari kerja sejak permohonan diterima dengan lengkap dan benar, apabila penelitian dilakukan secara manual.
Penelitian permohonan dilakukan sampai dokumen lengkap dan benar."
Berapa lama impor harus direalisasikan setelah mendapat persetujuan Fasilitas Kepabeanan Impor Barang yang Ditujukan untuk Kepentingan Umum di Wilayah Ibu Kota Nusantara dan Daerah Mitra?,"Batas waktu realisasi impor setelah mendapat persetujuan Fasilitas Kepabeanan Impor Barang yang Ditujukan untuk Kepentingan Umum di Wilayah Ibu Kota Nusantara dan Daerah Mitra, yaitu:Satu Tahun sejak tanggal Salinan Keputusan Menteri Keuangan (SKMK);
sampai dengan tanggal kontrak/perjanjian dalam hal kontrak/perjanjian lebih dari satu tahun; atau
Maksimal 31 Desember 2045 dalam hal kontrak/perjanjian melewati 31 Desember 2045."
Apakah ada perbedaan fasilitas fiskal bagi penerima fasilitas yang berlokasi di Ibu Kota Nusantara dan Daerah Mitra?,"Untuk skema fasilitas Kepentingan Umum tidak ada perbedaan perlakuan fasilitas fiskal antara penerima fasilitas yang berlokasi di Ibu Kota Nusantara maupun di Daerah Mitra, namun untuk skema fasilitas penanaman modal ada perbedaan dari segi bidang usaha. Khusus di Daerah Mitra, fasilitas fiskal dibatasi untuk industri yang bergerak di bidang usaha sebagai berikut:
a. pembangunan pembangkit tenaga listrik termasuk energi baru dan terbarukan;
b. pembangunan dan pengoperasian jalan tol;
c. pembangunan dan pengoperasian pelabuhan laut;
d. pembangunan dan pengoperasian bandar udara; dan
e. pembangunan dan penyediaan air bersih."
Apakah masih perlu Surat Keterangan Tidak Dipungut (SKTD) untuk mendapatkan Fasilitas Pembebasan Pajak Dalam Rangka Impor (PDRI) terkait Fasilitas Kepabeanan di Wilayah Ibu Kota Nusantara dan Daerah Mitra?,Penerima fasilitas tidak memerlukan Surat Keterangan Tidak Dipungut (SKTD) pajak karena Salinan Keputusan Menteri Keuangan (SKMK) yang diterbitkan nantinya sudah termasuk Pembebasan Bea Masuk dan Fasilitas Pajak Dalam Rangka Impor (PDRI).
Siapakah importir yang dapat mengajukan Fasilitas Kepabeanan Impor Barang yang Ditujukan untuk Kepentingan Umum di Wilayah Ibu Kota Nusantara dan Daerah Mitra?,"Importir yang dapat mengajukan Fasilitas Kepabeanan Impor Barang yang Ditujukan untuk Kepentingan Umum di Wilayah Ibu Kota Nusantara dan Daerah Mitra, yaitu:
1. Pemerintah Pusat;
2. Pemerintah Daerah;
3. Pihak Ketiga; atau
4. Pihak Lain"
Surat permohonan untuk mendapatkan Fasilitas Kepabeanan Impor Barang yang Ditujukan untuk Kepentingan Umum di Wilayah Ibu Kota Nusantara dan Daerah Mitra ditandatangani oleh siapa?,"Penandatangan Surat permohonan untuk mendapatkan Fasilitas Kepabeanan Impor Barang yang Ditujukan untuk Kepentingan Umum di Wilayah Ibu Kota Nusantara dan Daerah Mitra, yaitu:pimpinan satuan kerja selaku kuasa pengguna anggaran;
pejabat paling rendah setingkat Eselon II atau pimpinan tinggi pratama, dari pemerintah pusat atau pemerintah daerah;
pimpinan Pihak Ketiga; atau
pimpinan Pihak Lain.

Catatan:
Penerima fasilitas adalah Pemerintah Pusat atau Pemerintah Daerah

Contoh:Pemerintah Daerah melakukan kontrak pengadaan dengan PT ABC (Pihak Ketiga). Impor barang akan dilaksanakan oleh PT ABC (Pihak Ketiga). Maka Pimpinan PT ABC (Pihak Ketiga) dapat mengajukan permohonan untuk mendapatkan fasilitas kepabeanan. Pada Surat Keputusan Pemberian Fasilitas Kepabeanan nantinya penerima fasilitas adalah Pemerintah Daerah yang akan diimpor oleh PT ABC (Pihak Ketiga).
Pemerintah Pusat menerima hibah luar negeri dari Pihak Lain. Impor barang akan dilaksanakan oleh Pihak Lain. Maka Pimpinan Pihak Lain dapat mengajukan permohonan untuk mendapatkan fasilitas kepabeanan. Pada Surat Keputusan Pemberian Fasilitas Kepabeanan nantinya penerima fasilitas adalah Pemerintah Pusat yang akan diimpor oleh Pihak Lain."
Dokumen apa yang perlu dilampirkan dalam surat permohonan untuk mendapatkan Fasilitas Kepabeanan Impor Barang yang Ditujukan untuk Kepentingan Umum di Wilayah Ibu Kota Nusantara dan Daerah Mitra?,"Dokumen yang perlu dilampirkan dalam surat permohonan untuk mendapatkan Fasilitas Kepabeanan Impor Barang yang Ditujukan untuk Kepentingan Umum di Wilayah Ibu Kota Nusantara dan Daerah Mitra, yaitu:

Pembelian:DIPA/Dokumen Sejenis;
Surat Pernyataan pembiayaan dalam DIPA tidak meliputi unsur Bea Masuk dan/atau Pajak Dalam Rangka Impor (PDRI); dan
Kontrak Pengadaan yang menyebutkan bahwa harga barang tidak meliputi pembayaran Bea Masuk dan/atau Pajak Dalam Rangka Impor (PDRI).

Hibah:Gift certificate atau MoU (Memorandum of Understanding);
Dokumen persetujuan Hibah dari Pemerintah pusat, dalam hal Hibah kepada Pemerintah daerah; atau
Surat pernyataan Pemerintah pusat atau Pemerintah daerah dalam hal importasi dilakukan oleh Pihak Lain."
Apa saja yang menjadi objek Fasilitas Kepabeanan Impor Barang yang Ditujukan untuk Penanaman Modal di Wilayah Ibu Kota Nusantara dan Daerah Mitra?,"- Barang modal; dan
- Barang dan bahan;
untuk Pembangunan dan Pengembangan Industri.

Sepanjang barang modal dan barang dan bahan:
- belum diproduksi di dalam negeri;
- sudah diproduksi di dalam negeri namun belum memenuhi spesifikasi yang dibutuhkan; atau
- sudah diproduksi di dalam negeri namun jumlahnya belum mencukupi kebutuhan industri,
berdasarkan daftar barang yang ditetapkan oleh menteri yang menyelenggarakan urusan pemerintahan di bidang perindustrian."
"Industri apa saja yang dapat mengajukan Fasilitas Pembebasan Bea Masuk dan Fasilitas PDRI impor barang modal, dan bahan dan barang untuk pembangunan dan pengembangan industri di Ibu Kota Nusantara?","Yang dapat mengajukan adalah:
1. Industri Manufaktur; dan
2. Industri Jasa berupa:
 a. Pariwisata dan Ekonomi Kreatif;
 b. Pendidikan dan Kebudayaan;
 c. Transportasi untuk Publik;
 d. Pelayanan Kesehatan Publik;
 e. Penelitian dan Pengembangan;
 f. Konstruksi;
 g. Industri Telekomunikasi;
 h. Kepelabuhan; dan
 i. Keuangan

Untuk Daerah Mitra diberikan untuk bidang usaha yang mendukung pembangunan dan pengembangan Ibu Kota Nusantara meliputi:
a. pembangunan pembangkit tenaga listrik termasuk energi baru dan terbarukan;
b. pembangunan dan pengoperasian jalan tol;
c. pembangunan dan pengoperasian pelabuhan laut;
d. pembangunan dan pengoperasian bandar udara; dan
e. pembangunan dan penyediaan air bersih."
"Fasilitas fiskal apa saja yang diberikan terkait Fasilitas impor barang modal, dan bahan dan barang untuk pembangunan dan pengembangan industri di Ibu Kota Nusantara?","Untuk barang modal:
- Pembebasan Bea Masuk;
- PPN impor tidak dipungut; dan
- Pembebasan PPh impor.

Untuk barang dan bahan hanya diberikan pembebasan Bea Masuk.

Pembebasan Bea Masuk tidak termasuk pembebasan BMAD, BMAD Sementara, BMI, BMI Sementara, BMTP, BMTP Sementara, BMP, dan/atau BMP Sementara"
Dokumen apa yang perlu dilampirkan dalam surat permohonan untuk mendapatkan Fasilitas Kepabeanan Impor Barang yang Ditujukan untuk Penanaman Modal di Wilayah Ibu Kota Nusantara dan Daerah Mitra?,"1. Barang Modal
 - Identitas perusahaan;
 - Daftar Barang Modal;
 - Salinan Perizinan Berusaha; dan
 Khusus Daerah Mitra:
 - Surat Penetapan Pemberian Fasilitas Pengurangan PPh.
 Khusus Perusahaan Pembangkit Listrik:
 - RIB yang ditandasahkan oleh Kementerian ESDM; dan
 - Salinan Perjanjian Jual Beli tenaga listrik bagi pemegang izin usaha dalam penyediaan tenaga listrik.

2. Barang dan Bahan
 - Identitas Perusahaan;
 - Salinan Perizinan Berusaha;
 - daftar barang dan bahan; dan
 Khusus Daerah Mitra:
 - Surat Penetapan Pemberian Fasilitas Pengurangan PPh.
 Khusus Mesin Produksi Dalam Negeri:
 - Rekomendasi dari Kemenperin.

Daftar Barang minimal memuat:
- Kantor Pabean tempat penyelesaian kewajiban pabean;
- Pelabuhan/Bandar Udara tempat pemasukan;
- Uraian jenis dan spesifikasi teknis barang;
- Pos tarif;
- Jumlah dan satuan barang;
- Perkiraan nilai impor; dan
- Negara asal atau negara muat."
Bagaimana cara mengajukan permohonan untuk mendapatkan Fasilitas Kepabeanan Impor Barang yang Ditujukan untuk Penanaman Modal di Wilayah Ibu Kota Nusantara dan Daerah Mitra?,Permohonan diajukan kepada Menteri Investasi atau Kepala BKPM melalui Sistem OSS dengan melampirkan dokumen yang dipersyaratkan.
"Apakah Barang Modal, dan Barang dan Bahan yang mendapatkan Fasilitas Kepabeanan Impor Barang yang Ditujukan untuk Penanaman Modal di Wilayah Ibu Kota Nusantara dan Daerah Mitra harus memenuhi ketentuan larangan dan pembatasan (lartas)?","Ya, tetap wajib memenuhi ketentuan larangan dan pembatasan sesuai dengan peraturan perundang-undangan yang berlaku."
Apakah Dasar Hukum pelaksanaan ketentuan larangan dan pembatasan DJBC?,Pasal 53 Undang-Undang nomor 17 Tahun 2006 jo. Undang-Undang nomor 10 Tahun 1995 tentang Kepabeanan dan Peraturan Menteri Keuangan nomor 141/PMK.04/2020 tentang Pengawasan Impor Ekspor Barang Lartas
Apa saja pengaturan dalam PMK nomor 141/PMK.04/2020 Pengawasan Impor Ekspor Barang Lartas?,"Yang diatur dalam PMK 141/2020 Pengawasan Impor Ekspor Barang Lartas diantaranya adalah:
Otomasi proses bisnis meliputi: penyampaian, penelitian, pencantuman, perubahan, pencabutan dan permintaan penjelasan
Pencantuman ketentuan umum di bidang impor dan ekspor sesuai UU Perdagangan menjadi bagian dari ketentuan lartas
Memberikan kepastian atas pelaksanaan koordinasi antara K/L dan BC dalam penyusunan Ketentuan Lartas
Dalam hal terdapat penghapusan Lartas, K/L terkait dapat langsung melaksanakannya melalui INSW
HS Code pada ketentuan Lartas sebagai instrumen administrasi pengawasan, bukan referensi penetapan klasifikasi"
